PV [kW],Battery [kWh],Inverter [kW],CAPEX [€],Self-Consumption [%],Self-Sufficiency [%],Earning for Discharge to Grid,Earning for PV Feed-in to Grid,Opportunity Cost of Not PV Feed-in to Grid,Savings from Avoided Grid Import Cost,Cost for Covering Load from Grid,Cost for Charging Battery from Grid,Total Earnings,Energy Cost,Fixed Annual Cost [€],Net Bill [€],Optimization Profit,Cycles,Grid Import [kWh],Grid Export [kWh],Opt. Profit / kWh Battery [€/kWh],Opt. Profit / kWp PV [€/kW],Opt. Profit / kW Inverter [€/kW],Opt. Profit / CAPEX,Cycles / CAPEX [cycle/€]
5.0,9.0,9.0,11445.0,64.58,90.0,142.5,127.62,111.61,441.01,90.24,4.91,270.12,95.15,160.2,14.76,344.16,263.1,341.43,2844.17,38.2405,68.8328,38.2405,0.030071,0.022988
5.0,9.0,10.0,11635.0,64.58,90.0,142.5,127.62,111.61,441.01,90.24,4.91,270.12,95.15,160.2,14.76,344.16,263.1,341.43,2844.17,38.2405,68.8328,34.4164,0.02958,0.022612
5.0,10.0,5.0,11035.0,67.44,90.74,164.27,120.81,118.43,447.99,83.26,4.88,285.07,88.14,160.2,36.74,366.3,253.71,317.55,2801.74,36.63,73.26,73.26,0.033194,0.022991
5.0,10.0,6.0,11225.0,67.5,90.73,167.27,120.48,118.75,447.87,83.39,4.88,287.75,88.26,160.2,39.29,368.41,254.04,317.93,2801.75,36.8406,73.6812,61.401,0.03282,0.022632
5.0,10.0,7.0,11415.0,67.5,90.72,168.05,120.44,118.79,447.61,83.64,4.88,288.49,88.52,160.2,39.77,368.59,254.09,318.39,2802.17,36.8586,73.7172,52.6551,0.03229,0.022259
5.0,10.0,8.0,11605.0,67.5,90.69,168.66,120.44,118.79,447.28,83.97,4.88,289.1,88.85,160.2,40.06,368.55,254.09,319.18,2802.96,36.8545,73.709,46.0681,0.031757,0.021895
5.0,10.0,9.0,11795.0,67.5,90.69,168.66,120.44,118.79,447.28,83.97,4.88,289.1,88.85,160.2,40.06,368.55,254.09,319.18,2802.96,36.8545,73.709,40.9494,0.031246,0.021542
5.0,10.0,10.0,11985.0,67.5,90.69,168.66,120.44,118.79,447.28,83.97,4.88,289.1,88.85,160.2,40.06,368.55,254.09,319.18,2802.96,36.8545,73.709,36.8545,0.030751,0.021201
6.0,3.0,3.0,8335.0,34.66,74.23,2.67,257.49,47.35,285.7,236.7,2.88,260.16,239.58,160.2,-139.62,98.73,322.28,841.53,4689.33,32.9091,16.4545,32.9091,0.011845,0.038665
6.0,3.0,4.0,8525.0,34.66,74.23,2.67,257.49,47.35,285.7,236.7,2.88,260.16,239.58,160.2,-139.62,98.73,322.28,841.53,4689.33,32.9091,16.4545,24.6818,0.011581,0.037804
6.0,3.0,5.0,8715.0,34.66,74.23,2.67,257.49,47.35,285.7,236.7,2.88,260.16,239.58,160.2,-139.62,98.73,322.28,841.53,4689.33,32.9091,16.4545,19.7454,0.011328,0.03698
6.0,3.0,6.0,8905.0,34.66,74.23,2.67,257.49,47.35,285.7,236.7,2.88,260.16,239.58,160.2,-139.62,98.73,322.28,841.53,4689.33,32.9091,16.4545,16.4545,0.011087,0.036191
6.0,4.0,3.0,8685.0,38.81,81.03,13.25,242.95,61.89,349.54,172.87,3.31,256.2,176.17,160.2,-80.17,207.47,316.01,623.83,4440.34,51.8685,34.579,69.1579,0.023889,0.036385
6.0,4.0,4.0,8875.0,38.81,81.03,13.25,243.0,61.84,349.54,172.87,3.3,256.25,176.17,160.2,-80.12,207.58,316.01,623.83,4440.34,51.8948,34.5966,51.8948,0.023389,0.035606
6.0,4.0,5.0,9065.0,38.81,81.03,13.25,243.0,61.84,349.54,172.87,3.3,256.25,176.17,160.2,-80.12,207.58,316.01,623.83,4440.34,51.8948,34.5966,41.5159,0.022899,0.03486
6.0,4.0,6.0,9255.0,38.81,81.03,13.25,243.0,61.84,349.54,172.87,3.3,256.25,176.17,160.2,-80.12,207.58,316.01,623.83,4440.34,51.8948,34.5966,34.5966,0.022429,0.034144
6.0,4.0,7.0,9445.0,38.81,81.03,13.25,243.0,61.84,349.54,172.87,3.3,256.25,176.17,160.2,-80.12,207.58,316.01,623.83,4440.34,51.8948,34.5966,29.6542,0.021978,0.033458
6.0,4.0,8.0,9635.0,38.81,81.03,13.25,243.0,61.84,349.54,172.87,3.3,256.25,176.17,160.2,-80.12,207.58,316.01,623.83,4440.34,51.8948,34.5966,25.9474,0.021544,0.032798
6.0,5.0,3.0,9035.0,42.8,85.36,36.16,228.86,75.98,389.54,132.86,3.82,265.02,136.68,160.2,-31.86,281.7,310.17,486.13,4272.46,56.3404,46.9503,93.9006,0.031179,0.034329
6.0,5.0,4.0,9225.0,42.8,85.35,36.58,228.91,75.93,389.3,133.1,3.82,265.5,136.92,160.2,-31.62,281.76,310.17,486.68,4273.01,56.3521,46.9601,70.4402,0.030543,0.033622
6.0,5.0,5.0,9415.0,42.8,85.35,36.58,228.92,75.93,389.3,133.1,3.81,265.5,136.91,160.2,-31.61,281.76,310.17,486.68,4273.01,56.3527,46.9606,56.3527,0.029927,0.032944
6.0,5.0,6.0,9605.0,42.8,85.35,36.58,228.92,75.93,389.3,133.1,3.81,265.5,136.91,160.2,-31.61,281.76,310.17,486.68,4273.01,56.3527,46.9606,46.9606,0.029335,0.032292
6.0,5.0,7.0,9795.0,42.8,85.35,36.58,228.92,75.93,389.3,133.1,3.81,265.5,136.91,160.2,-31.61,281.76,310.17,486.68,4273.01,56.3527,46.9606,40.252,0.028766,0.031666
6.0,5.0,8.0,9985.0,42.8,85.35,36.58,228.92,75.93,389.3,133.1,3.81,265.5,136.91,160.2,-31.61,281.76,310.17,486.68,4273.01,56.3527,46.9606,35.2205,0.028219,0.031063
6.0,5.0,9.0,10175.0,42.8,85.35,36.58,228.92,75.93,389.3,133.1,3.81,265.5,136.91,160.2,-31.61,281.76,310.17,486.68,4273.01,56.3527,46.9606,31.3071,0.027692,0.030483
6.0,5.0,10.0,10365.0,42.8,85.35,36.58,228.92,75.93,389.3,133.1,3.81,265.5,136.91,160.2,-31.61,281.76,310.17,486.68,4273.01,56.3527,46.9606,28.1764,0.027184,0.029924
6.0,6.0,3.0,9385.0,46.59,88.23,64.11,215.61,89.23,416.09,106.31,3.94,279.72,110.24,160.2,9.28,336.15,303.52,394.26,4151.93,56.0247,56.0247,112.0494,0.035818,0.032341
6.0,6.0,4.0,9575.0,46.59,88.21,64.67,215.68,89.16,415.87,106.54,3.93,280.34,110.47,160.2,9.68,336.38,303.52,394.89,4152.56,56.0633,56.0633,84.0949,0.035131,0.0317
6.0,6.0,5.0,9765.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,67.2658,0.034442,0.031083
6.0,6.0,6.0,9955.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,56.0549,0.033785,0.03049
6.0,6.0,7.0,10145.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,48.047,0.033152,0.029919
6.0,6.0,8.0,10335.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,42.0412,0.032543,0.029369
6.0,6.0,9.0,10525.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,37.3699,0.031955,0.028838
6.0,6.0,10.0,10715.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,33.6329,0.031389,0.028327
6.0,6.0,11.0,10905.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,30.5754,0.030842,0.027833
6.0,6.0,12.0,11095.0,46.59,88.2,64.98,215.68,89.16,415.68,106.72,3.93,280.66,110.65,160.2,9.81,336.33,303.52,395.3,4152.97,56.0549,56.0549,28.0274,0.030314,0.027357
6.0,7.0,4.0,9925.0,50.02,90.09,93.67,204.58,100.26,432.99,89.42,3.59,298.25,93.01,160.2,45.04,377.76,294.78,332.86,4064.15,53.9658,62.9601,94.4402,0.038062,0.029701
6.0,7.0,5.0,10115.0,50.02,90.06,94.31,204.58,100.26,432.69,89.71,3.59,298.89,93.3,160.2,45.39,377.82,294.78,333.63,4064.93,53.9737,62.9693,75.5632,0.037352,0.029143
6.0,7.0,6.0,10305.0,50.02,90.05,94.51,204.58,100.26,432.57,89.83,3.59,299.09,93.42,160.2,45.47,377.78,294.78,333.89,4065.19,53.9688,62.9636,62.9636,0.03666,0.028606
6.0,7.0,7.0,10495.0,50.02,90.05,94.51,204.58,100.26,432.57,89.83,3.59,299.09,93.42,160.2,45.47,377.78,294.78,333.89,4065.19,53.9688,62.9636,53.9688,0.035996,0.028088
6.0,7.0,8.0,10685.0,50.02,90.05,94.51,204.58,100.26,432.57,89.83,3.59,299.09,93.42,160.2,45.47,377.78,294.78,333.89,4065.19,53.9688,62.9636,47.2227,0.035356,0.027588
6.0,7.0,9.0,10875.0,50.02,90.05,94.51,204.58,100.26,432.57,89.83,3.59,299.09,93.42,160.2,45.47,377.78,294.78,333.89,4065.19,53.9688,62.9636,41.9758,0.034739,0.027106
6.0,7.0,10.0,11065.0,50.02,90.05,94.51,204.58,100.26,432.57,89.83,3.59,299.09,93.42,160.2,45.47,377.78,294.78,333.89,4065.19,53.9688,62.9636,37.7782,0.034142,0.026641
6.0,7.0,11.0,11255.0,50.02,90.05,94.51,204.58,100.26,432.57,89.83,3.59,299.09,93.42,160.2,45.47,377.78,294.78,333.89,4065.19,53.9688,62.9636,34.3438,0.033566,0.026191
6.0,7.0,12.0,11445.0,50.02,90.05,94.51,204.58,100.26,432.57,89.83,3.59,299.09,93.42,160.2,45.47,377.78,294.78,333.89,4065.19,53.9688,62.9636,31.4818,0.033008,0.025756
6.0,8.0,4.0,10275.0,53.1,91.33,121.73,195.23,109.61,444.47,77.93,3.19,316.95,81.12,160.2,75.63,410.49,285.01,290.81,3998.48,51.3111,68.4147,102.6221,0.03995,0.027739
6.0,8.0,5.0,10465.0,53.1,91.33,122.88,195.18,109.66,444.33,78.07,3.19,318.06,81.26,160.2,76.61,411.28,285.07,290.99,3998.61,51.4102,68.5469,82.2562,0.039301,0.02724
6.0,8.0,6.0,10655.0,53.1,91.3,123.61,195.18,109.66,443.97,78.43,3.19,318.79,81.62,160.2,76.97,411.29,285.07,291.92,3999.54,51.4108,68.5478,68.5478,0.0386,0.026755
6.0,8.0,7.0,10845.0,53.1,91.3,123.69,195.18,109.66,443.92,78.48,3.19,318.88,81.67,160.2,77.01,411.27,285.07,292.02,3999.64,51.409,68.5454,58.7532,0.037923,0.026286
6.0,8.0,8.0,11035.0,53.1,91.3,123.69,195.18,109.66,443.92,78.48,3.19,318.88,81.67,160.2,77.01,411.27,285.07,292.02,3999.64,51.409,68.5454,51.409,0.03727,0.025833
6.0,8.0,9.0,11225.0,53.1,91.3,123.69,195.18,109.66,443.92,78.48,3.19,318.88,81.67,160.2,77.01,411.27,285.07,292.02,3999.64,51.409,68.5454,45.6969,0.036639,0.025396
6.0,8.0,10.0,11415.0,53.1,91.3,123.69,195.18,109.66,443.92,78.48,3.19,318.88,81.67,160.2,77.01,411.27,285.07,292.02,3999.64,51.409,68.5454,41.1272,0.036029,0.024973
6.0,8.0,11.0,11605.0,53.1,91.3,123.69,195.18,109.66,443.92,78.48,3.19,318.88,81.67,160.2,77.01,411.27,285.07,292.02,3999.64,51.409,68.5454,37.3884,0.035439,0.024565
6.0,8.0,12.0,11795.0,53.1,91.3,123.69,195.18,109.66,443.92,78.48,3.19,318.88,81.67,160.2,77.01,411.27,285.07,292.02,3999.64,51.409,68.5454,34.2727,0.034868,0.024169
6.0,9.0,5.0,10815.0,55.91,92.16,151.02,187.36,117.48,452.1,70.3,3.18,338.37,73.48,160.2,104.69,439.3,275.57,264.06,3949.88,48.8116,73.2175,87.861,0.04062,0.02548
6.0,9.0,6.0,11005.0,55.91,92.15,151.89,187.34,117.5,451.93,70.47,3.18,339.23,73.65,160.2,105.39,439.82,275.58,264.31,3950.12,48.8688,73.3032,73.3032,0.039965,0.025042
6.0,9.0,7.0,11195.0,55.91,92.12,152.63,187.34,117.5,451.55,70.85,3.18,339.97,74.03,160.2,105.74,439.79,275.58,265.27,3951.08,48.8657,73.2985,62.8273,0.039285,0.024617
6.0,9.0,8.0,11385.0,55.91,92.12,152.63,187.34,117.5,451.55,70.85,3.18,339.97,74.03,160.2,105.74,439.79,275.58,265.27,3951.08,48.8657,73.2985,54.9739,0.038629,0.024206
6.0,9.0,9.0,11575.0,55.91,92.12,152.63,187.34,117.5,451.55,70.85,3.18,339.97,74.03,160.2,105.74,439.79,275.58,265.27,3951.08,48.8657,73.2985,48.8657,0.037995,0.023808
6.0,9.0,10.0,11765.0,55.91,92.12,152.63,187.34,117.5,451.55,70.85,3.18,339.97,74.03,160.2,105.74,439.79,275.58,265.27,3951.08,48.8657,73.2985,43.9791,0.037381,0.023424
6.0,9.0,11.0,11955.0,55.91,92.12,152.63,187.34,117.5,451.55,70.85,3.18,339.97,74.03,160.2,105.74,439.79,275.58,265.27,3951.08,48.8657,73.2985,39.981,0.036787,0.023052
6.0,9.0,12.0,12145.0,55.91,92.12,152.63,187.34,117.5,451.55,70.85,3.18,339.97,74.03,160.2,105.74,439.79,275.58,265.27,3951.08,48.8657,73.2985,36.6492,0.036212,0.022691
6.0,10.0,5.0,11165.0,58.56,92.81,177.19,180.11,124.74,458.17,64.23,3.18,357.3,67.41,160.2,129.69,463.12,266.82,243.04,3908.29,46.3122,77.1869,92.6243,0.04148,0.023898
6.0,10.0,6.0,11355.0,58.61,92.8,180.26,179.84,125.01,458.04,64.36,3.18,360.1,67.54,160.2,132.35,465.39,267.15,243.45,3908.33,46.5385,77.5642,77.5642,0.040985,0.023527
6.0,10.0,7.0,11545.0,58.61,92.79,181.0,179.82,125.02,457.82,64.58,3.18,360.82,67.76,160.2,132.86,465.66,267.17,243.85,3908.72,46.566,77.6099,66.5228,0.040334,0.023141
6.0,10.0,8.0,11735.0,58.61,92.76,181.62,179.82,125.02,457.49,64.91,3.18,361.44,68.09,160.2,133.15,465.62,267.17,244.66,3909.53,46.562,77.6033,58.2025,0.039678,0.022767
6.0,10.0,9.0,11925.0,58.61,92.76,181.62,179.82,125.02,457.49,64.91,3.18,361.44,68.09,160.2,133.15,465.62,267.17,244.66,3909.53,46.562,77.6033,51.7355,0.039046,0.022404
6.0,10.0,10.0,12115.0,58.61,92.76,181.62,179.82,125.02,457.49,64.91,3.18,361.44,68.09,160.2,133.15,465.62,267.17,244.66,3909.53,46.562,77.6033,46.562,0.038433,0.022053
6.0,10.0,11.0,12305.0,58.61,92.76,181.62,179.82,125.02,457.49,64.91,3.18,361.44,68.09,160.2,133.15,465.62,267.17,244.66,3909.53,46.562,77.6033,42.3291,0.03784,0.021712
6.0,10.0,12.0,12495.0,58.61,92.76,181.62,179.82,125.02,457.49,64.91,3.18,361.44,68.09,160.2,133.15,465.62,267.17,244.66,3909.53,46.562,77.6033,38.8016,0.037264,0.021382
6.0,11.0,6.0,11705.0,61.13,93.36,205.98,172.96,131.88,463.11,59.29,3.18,378.94,62.47,160.2,156.27,487.5,259.15,225.49,3870.76,44.3181,81.2499,81.2499,0.041649,0.02214
6.0,11.0,7.0,11895.0,61.17,93.35,208.65,172.72,132.12,463.03,59.37,3.18,381.37,62.55,160.2,158.62,489.52,259.4,225.74,3870.72,44.502,81.587,69.9318,0.041154,0.021807
6.0,11.0,8.0,12085.0,61.17,93.33,209.3,172.71,132.13,462.76,59.64,3.18,382.01,62.82,160.2,158.99,489.61,259.41,226.3,3871.26,44.5101,81.6019,61.2014,0.040514,0.021465
6.0,11.0,9.0,12275.0,61.17,93.31,209.81,172.71,132.13,462.48,59.92,3.18,382.52,63.1,160.2,159.22,489.56,259.41,226.96,3871.92,44.5056,81.5936,54.3957,0.039883,0.021133
6.0,11.0,10.0,12465.0,61.17,93.31,209.81,172.71,132.13,462.48,59.92,3.18,382.52,63.1,160.2,159.22,489.56,259.41,226.96,3871.92,44.5056,81.5936,48.9561,0.039275,0.020811
6.0,11.0,11.0,12655.0,61.17,93.31,209.81,172.71,132.13,462.48,59.92,3.18,382.52,63.1,160.2,159.22,489.56,259.41,226.96,3871.92,44.5056,81.5936,44.5056,0.038685,0.020498
6.0,11.0,12.0,12845.0,61.17,93.31,209.81,172.71,132.13,462.48,59.92,3.18,382.52,63.1,160.2,159.22,489.56,259.41,226.96,3871.92,44.5056,81.5936,40.7968,0.038113,0.020195
6.0,12.0,6.0,12055.0,63.47,93.84,229.63,166.55,138.29,467.46,54.94,3.18,396.18,58.12,160.2,177.87,507.04,251.44,210.0,3836.98,42.2534,84.5069,84.5069,0.042061,0.020858
6.0,12.0,7.0,12245.0,63.57,93.81,234.19,166.01,138.83,467.14,55.26,3.18,400.2,58.44,160.2,181.56,509.87,251.99,211.0,3837.28,42.489,84.9781,72.8383,0.041639,0.020579
6.0,12.0,8.0,12435.0,63.59,93.8,236.48,165.82,139.02,466.99,55.41,3.18,402.3,58.59,160.2,183.51,511.47,252.15,211.25,3837.31,42.6229,85.2457,63.9343,0.041132,0.020278
6.0,12.0,9.0,12625.0,63.59,93.78,237.0,165.82,139.02,466.78,55.62,3.18,402.82,58.8,160.2,183.82,511.58,252.15,211.8,3837.87,42.6318,85.2637,56.8425,0.040521,0.019973
6.0,12.0,10.0,12815.0,63.59,93.77,237.4,165.82,139.02,466.55,55.85,3.18,403.22,59.03,160.2,183.99,511.52,252.15,212.31,3838.38,42.6271,85.2541,51.1525,0.039916,0.019676
6.0,12.0,11.0,13005.0,63.59,93.77,237.4,165.82,139.02,466.55,55.85,3.18,403.22,59.03,160.2,183.99,511.52,252.15,212.31,3838.38,42.6271,85.2541,46.5023,0.039333,0.019389
6.0,12.0,12.0,13195.0,63.59,93.77,237.4,165.82,139.02,466.55,55.85,3.18,403.22,59.03,160.2,183.99,511.52,252.15,212.31,3838.38,42.6271,85.2541,42.6271,0.038767,0.01911
7.0,4.0,4.0,9005.0,33.85,82.27,14.38,307.39,63.72,354.4,161.3,2.79,321.77,164.09,160.2,-2.52,288.17,322.09,581.87,5590.89,72.0419,41.1668,72.0419,0.032001,0.035768
7.0,4.0,5.0,9195.0,33.85,82.27,14.38,307.39,63.72,354.4,161.3,2.79,321.77,164.09,160.2,-2.52,288.17,322.09,581.87,5590.89,72.0419,41.1668,57.6336,0.03134,0.035029
7.0,4.0,6.0,9385.0,33.85,82.27,14.38,307.39,63.72,354.4,161.3,2.79,321.77,164.09,160.2,-2.52,288.17,322.09,581.87,5590.89,72.0419,41.1668,48.028,0.030705,0.03432
7.0,4.0,7.0,9575.0,33.85,82.27,14.38,307.39,63.72,354.4,161.3,2.79,321.77,164.09,160.2,-2.52,288.17,322.09,581.87,5590.89,72.0419,41.1668,41.1668,0.030096,0.033639
7.0,4.0,8.0,9765.0,33.85,82.27,14.38,307.39,63.72,354.4,161.3,2.79,321.77,164.09,160.2,-2.52,288.17,322.09,581.87,5590.89,72.0419,41.1668,36.021,0.02951,0.032985
7.0,5.0,4.0,9355.0,37.36,86.68,38.1,292.91,78.2,394.97,120.73,2.94,331.02,123.67,160.2,47.15,363.92,316.27,439.95,5418.14,72.7846,51.989,90.9808,0.038901,0.033807
7.0,5.0,5.0,9545.0,37.36,86.68,38.1,292.93,78.18,394.97,120.73,2.94,331.04,123.67,160.2,47.17,363.96,316.27,439.95,5418.14,72.7926,51.9947,72.7926,0.038131,0.033134
7.0,5.0,6.0,9735.0,37.36,86.68,38.1,292.93,78.18,394.97,120.73,2.94,331.04,123.67,160.2,47.17,363.96,316.27,439.95,5418.14,72.7926,51.9947,60.6605,0.037387,0.032488
7.0,5.0,7.0,9925.0,37.36,86.68,38.1,292.93,78.18,394.97,120.73,2.94,331.04,123.67,160.2,47.17,363.96,316.27,439.95,5418.14,72.7926,51.9947,51.9947,0.036671,0.031866
7.0,5.0,8.0,10115.0,37.36,86.68,38.1,292.93,78.18,394.97,120.73,2.94,331.04,123.67,160.2,47.17,363.96,316.27,439.95,5418.14,72.7926,51.9947,45.4954,0.035982,0.031267
7.0,5.0,9.0,10305.0,37.36,86.68,38.1,292.93,78.18,394.97,120.73,2.94,331.04,123.67,160.2,47.17,363.96,316.27,439.95,5418.14,72.7926,51.9947,40.4403,0.035319,0.030691
7.0,5.0,10.0,10495.0,37.36,86.68,38.1,292.93,78.18,394.97,120.73,2.94,331.04,123.67,160.2,47.17,363.96,316.27,439.95,5418.14,72.7926,51.9947,36.3963,0.03468,0.030135
7.0,6.0,4.0,9705.0,40.75,89.55,67.35,279.01,92.1,421.47,94.23,2.48,346.36,96.71,160.2,89.45,418.82,310.08,345.18,5293.76,69.8038,59.8319,104.7057,0.043155,0.031951
7.0,6.0,5.0,9895.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8296,83.7615,0.042325,0.031337
7.0,6.0,6.0,10085.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8297,69.8013,0.041528,0.030747
7.0,6.0,7.0,10275.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8297,59.8297,0.04076,0.030178
7.0,6.0,8.0,10465.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8297,52.351,0.04002,0.02963
7.0,6.0,9.0,10655.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8297,46.5342,0.039306,0.029102
7.0,6.0,10.0,10845.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8297,41.8808,0.038618,0.028592
7.0,6.0,11.0,11035.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8297,38.0734,0.037953,0.0281
7.0,6.0,12.0,11225.0,40.75,89.54,67.68,279.03,92.08,421.28,94.42,2.47,346.7,96.9,160.2,89.61,418.81,310.08,345.6,5294.18,69.8013,59.8297,34.9006,0.03731,0.027624
7.0,7.0,4.0,10055.0,43.86,91.51,98.15,266.94,104.17,439.36,76.35,2.14,365.09,78.49,160.2,126.4,461.59,302.43,280.53,5201.22,65.9419,65.9419,115.3983,0.045907,0.030077
7.0,7.0,5.0,10245.0,43.86,91.48,98.78,266.96,104.15,439.07,76.64,2.14,365.74,78.78,160.2,126.77,461.69,302.43,281.29,5201.99,65.9556,65.9556,92.3378,0.045065,0.02952
7.0,7.0,6.0,10435.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,76.9422,0.044241,0.028982
7.0,7.0,7.0,10625.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,65.9505,0.04345,0.028464
7.0,7.0,8.0,10815.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,57.7067,0.042686,0.027964
7.0,7.0,9.0,11005.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,51.2948,0.041949,0.027481
7.0,7.0,10.0,11195.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,46.1653,0.041237,0.027015
7.0,7.0,11.0,11385.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,41.9685,0.040549,0.026564
7.0,7.0,12.0,11575.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,38.4711,0.039884,0.026128
7.0,7.0,13.0,11765.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,35.5118,0.03924,0.025706
7.0,7.0,14.0,11955.0,43.86,91.48,98.99,266.96,104.15,438.95,76.76,2.14,365.95,78.9,160.2,126.86,461.65,302.43,281.56,5202.26,65.9505,65.9505,32.9752,0.038616,0.025297
7.0,8.0,4.0,10405.0,46.66,92.8,128.35,257.1,114.01,451.21,64.49,2.14,385.45,66.63,160.2,158.62,495.82,293.68,239.03,5134.4,61.9781,70.8321,123.9561,0.047653,0.028225
7.0,8.0,5.0,10595.0,46.67,92.79,129.49,257.1,114.01,451.11,64.59,2.14,386.59,66.73,160.2,159.66,496.77,293.71,239.16,5134.51,62.096,70.9668,99.3535,0.046887,0.027721
7.0,8.0,6.0,10785.0,46.67,92.76,130.21,257.1,114.01,450.75,64.95,2.14,387.32,67.09,160.2,160.03,496.78,293.71,240.07,5135.43,62.0971,70.9681,82.7961,0.046062,0.027233
7.0,8.0,7.0,10975.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,70.9658,0.045263,0.026761
7.0,8.0,8.0,11165.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,62.0951,0.044493,0.026306
7.0,8.0,9.0,11355.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,55.1957,0.043748,0.025866
7.0,8.0,10.0,11545.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,49.6761,0.043028,0.02544
7.0,8.0,11.0,11735.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,45.1601,0.042332,0.025028
7.0,8.0,12.0,11925.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,41.3967,0.041657,0.024629
7.0,8.0,13.0,12115.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,38.2124,0.041004,0.024243
7.0,8.0,14.0,12305.0,46.67,92.76,130.31,257.1,114.01,450.7,65.0,2.14,387.41,67.14,160.2,160.07,496.76,293.71,240.19,5135.55,62.0951,70.9658,35.4829,0.040371,0.023869
7.0,9.0,5.0,10945.0,49.18,93.48,159.55,249.33,121.78,457.62,58.08,2.14,408.88,60.22,160.2,188.46,524.29,284.24,216.93,5089.52,58.2548,74.8991,104.8587,0.047903,0.025969
