PV,Battery,Inverter,PV_to_Battery,Battery_to_Inverter,PV_to_Inverter
12,15,15,0.8,1.0,0.8
13,7,7,1.86,1.0,1.86
13,7,8,1.86,0.88,1.62
13,7,9,1.86,0.78,1.44
13,7,10,1.86,0.7,1.3
13,7,11,1.86,0.64,1.18
13,7,12,1.86,0.58,1.08
13,7,13,1.86,0.54,1.0
13,7,14,1.86,0.5,0.93
13,8,7,1.62,1.14,1.86
13,8,8,1.62,1.0,1.62
13,8,9,1.62,0.89,1.44
13,8,10,1.62,0.8,1.3
13,8,11,1.62,0.73,1.18
13,8,12,1.62,0.67,1.08
13,8,13,1.62,0.62,1.0
13,8,14,1.62,0.57,0.93
13,8,15,1.62,0.53,0.87
13,9,7,1.44,1.29,1.86
13,9,8,1.44,1.12,1.62
13,9,9,1.44,1.0,1.44
13,9,10,1.44,0.9,1.3
13,9,11,1.44,0.82,1.18
13,9,12,1.44,0.75,1.08
13,9,13,1.44,0.69,1.0
13,9,14,1.44,0.64,0.93
13,9,15,1.44,0.6,0.87
13,10,7,1.3,1.43,1.86
13,10,8,1.3,1.25,1.62
13,10,9,1.3,1.11,1.44
13,10,10,1.3,1.0,1.3
13,10,11,1.3,0.91,1.18
13,10,12,1.3,0.83,1.08
13,10,13,1.3,0.77,1.0
13,10,14,1.3,0.71,0.93
13,10,15,1.3,0.67,0.87
13,11,7,1.18,1.57,1.86
13,11,8,1.18,1.38,1.62
13,11,9,1.18,1.22,1.44
13,11,10,1.18,1.1,1.3
13,11,11,1.18,1.0,1.18
13,11,12,1.18,0.92,1.08
13,11,13,1.18,0.85,1.0
13,11,14,1.18,0.79,0.93
13,11,15,1.18,0.73,0.87
13,12,7,1.08,1.71,1.86
13,12,8,1.08,1.5,1.62
13,12,9,1.08,1.33,1.44
13,12,10,1.08,1.2,1.3
13,12,11,1.08,1.09,1.18
13,12,12,1.08,1.0,1.08
13,12,13,1.08,0.92,1.0
13,12,14,1.08,0.86,0.93
13,12,15,1.08,0.8,0.87
13,13,7,1.0,1.86,1.86
13,13,8,1.0,1.62,1.62
13,13,9,1.0,1.44,1.44
13,13,10,1.0,1.3,1.3
13,13,11,1.0,1.18,1.18
13,13,12,1.0,1.08,1.08
13,13,13,1.0,1.0,1.0
13,13,14,1.0,0.93,0.93
13,13,15,1.0,0.87,0.87
13,14,7,0.93,2.0,1.86
13,14,8,0.93,1.75,1.62
13,14,9,0.93,1.56,1.44
13,14,10,0.93,1.4,1.3
13,14,11,0.93,1.27,1.18
13,14,12,0.93,1.17,1.08
13,14,13,0.93,1.08,1.0
13,14,14,0.93,1.0,0.93
13,14,15,0.93,0.93,0.87
13,15,8,0.87,1.88,1.62
13,15,9,0.87,1.67,1.44
13,15,10,0.87,1.5,1.3
13,15,11,0.87,1.36,1.18
13,15,12,0.87,1.25,1.08
13,15,13,0.87,1.15,1.0
13,15,14,0.87,1.07,0.93
13,15,15,0.87,1.0,0.87
14,7,7,2.0,1.0,2.0
14,7,8,2.0,0.88,1.75
14,7,9,2.0,0.78,1.56
14,7,10,2.0,0.7,1.4
14,7,11,2.0,0.64,1.27
14,7,12,2.0,0.58,1.17
14,7,13,2.0,0.54,1.08
14,7,14,2.0,0.5,1.0
14,8,7,1.75,1.14,2.0
14,8,8,1.75,1.0,1.75
14,8,9,1.75,0.89,1.56
14,8,10,1.75,0.8,1.4
14,8,11,1.75,0.73,1.27
14,8,12,1.75,0.67,1.17
14,8,13,1.75,0.62,1.08
14,8,14,1.75,0.57,1.0
14,8,15,1.75,0.53,0.93
14,9,7,1.56,1.29,2.0
14,9,8,1.56,1.12,1.75
14,9,9,1.56,1.0,1.56
14,9,10,1.56,0.9,1.4
14,9,11,1.56,0.82,1.27
14,9,12,1.56,0.75,1.17
14,9,13,1.56,0.69,1.08
14,9,14,1.56,0.64,1.0
14,9,15,1.56,0.6,0.93
14,10,7,1.4,1.43,2.0
14,10,8,1.4,1.25,1.75
14,10,9,1.4,1.11,1.56
14,10,10,1.4,1.0,1.4
14,10,11,1.4,0.91,1.27
14,10,12,1.4,0.83,1.17
14,10,13,1.4,0.77,1.08
14,10,14,1.4,0.71,1.0
14,10,15,1.4,0.67,0.93
14,11,7,1.27,1.57,2.0
14,11,8,1.27,1.38,1.75
14,11,9,1.27,1.22,1.56
14,11,10,1.27,1.1,1.4
14,11,11,1.27,1.0,1.27
14,11,12,1.27,0.92,1.17
14,11,13,1.27,0.85,1.08
14,11,14,1.27,0.79,1.0
14,11,15,1.27,0.73,0.93
14,12,7,1.17,1.71,2.0
14,12,8,1.17,1.5,1.75
14,12,9,1.17,1.33,1.56
14,12,10,1.17,1.2,1.4
14,12,11,1.17,1.09,1.27
14,12,12,1.17,1.0,1.17
14,12,13,1.17,0.92,1.08
14,12,14,1.17,0.86,1.0
14,12,15,1.17,0.8,0.93
14,13,7,1.08,1.86,2.0
14,13,8,1.08,1.62,1.75
14,13,9,1.08,1.44,1.56
14,13,10,1.08,1.3,1.4
14,13,11,1.08,1.18,1.27
14,13,12,1.08,1.08,1.17
14,13,13,1.08,1.0,1.08
14,13,14,1.08,0.93,1.0
14,13,15,1.08,0.87,0.93
14,14,7,1.0,2.0,2.0
14,14,8,1.0,1.75,1.75
14,14,9,1.0,1.56,1.56
14,14,10,1.0,1.4,1.4
14,14,11,1.0,1.27,1.27
14,14,12,1.0,1.17,1.17
14,14,13,1.0,1.08,1.08
14,14,14,1.0,1.0,1.0
14,14,15,1.0,0.93,0.93
14,15,8,0.93,1.88,1.75
14,15,9,0.93,1.67,1.56
14,15,10,0.93,1.5,1.4
14,15,11,0.93,1.36,1.27
14,15,12,0.93,1.25,1.17
14,15,13,0.93,1.15,1.08
14,15,14,0.93,1.07,1.0
14,15,15,0.93,1.0,0.93
15,8,8,1.88,1.0,1.88
15,8,9,1.88,0.89,1.67
15,8,10,1.88,0.8,1.5
15,8,11,1.88,0.73,1.36
15,8,12,1.88,0.67,1.25
15,8,13,1.88,0.62,1.15
15,8,14,1.88,0.57,1.07
15,8,15,1.88,0.53,1.0
15,9,8,1.67,1.12,1.88
15,9,9,1.67,1.0,1.67
15,9,10,1.67,0.9,1.5
15,9,11,1.67,0.82,1.36
15,9,12,1.67,0.75,1.25
15,9,13,1.67,0.69,1.15
15,9,14,1.67,0.64,1.07
15,9,15,1.67,0.6,1.0
15,10,8,1.5,1.25,1.88
15,10,9,1.5,1.11,1.67
15,10,10,1.5,1.0,1.5
15,10,11,1.5,0.91,1.36
15,10,12,1.5,0.83,1.25
15,10,13,1.5,0.77,1.15
15,10,14,1.5,0.71,1.07
15,10,15,1.5,0.67,1.0
